,index,number,link,title,img
85,Dr. David Buss: How Humans Select & Keep Romantic Partners in Short & Long Term | Huberman Lab  #48,86.0,https://www.youtube.com/watch?v=HXzTbCEqCJc&list=UU2D2CMWXMOVWx7giW1n3LIg&index=86&pp=iAQB,Dr. David Buss: How Humans Select & Keep Romantic Partners in Short & Long Term | Huberman Lab  #48,https://i.ytimg.com/vi/HXzTbCEqCJc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfUR0VNyIWyG8CHuj4eMRQXNbl1g
86,The Science of Gratitude & How to Build a Gratitude Practice | Huberman Lab Podcast #47,87.0,https://www.youtube.com/watch?v=KVjfFN89qvQ&list=UU2D2CMWXMOVWx7giW1n3LIg&index=87&pp=iAQB,The Science of Gratitude & How to Build a Gratitude Practice | Huberman Lab Podcast #47,https://i.ytimg.com/vi/KVjfFN89qvQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4m9nI1X9Yc7arcF385cRkrJvB8w
87,"Time Perception & Entrainment by Dopamine, Serotonin & Hormones | Huberman Lab Podcast #46",88.0,https://www.youtube.com/watch?v=8IWDAqodDas&list=UU2D2CMWXMOVWx7giW1n3LIg&index=88&pp=iAQB,"Time Perception & Entrainment by Dopamine, Serotonin & Hormones | Huberman Lab Podcast #46",https://i.ytimg.com/vi/8IWDAqodDas/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXLgL1OexDYV32GQ9XzJQK9qGgqQ
88,Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization | Huberman Lab #45,89.0,https://www.youtube.com/watch?v=iMvtHqLmEkI&list=UU2D2CMWXMOVWx7giW1n3LIg&index=89&pp=iAQB,Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization | Huberman Lab #45,https://i.ytimg.com/vi/iMvtHqLmEkI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCzafCtKPIDVSlmMjcG5-m4FH5LJQ
89,Using Your Nervous System to Enhance Your Immune System | Huberman Lab Podcast #44,90.0,https://www.youtube.com/watch?v=poOf8b2WE2g&list=UU2D2CMWXMOVWx7giW1n3LIg&index=90&pp=iAQB,Using Your Nervous System to Enhance Your Immune System | Huberman Lab Podcast #44,https://i.ytimg.com/vi/poOf8b2WE2g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjxalmtxNhmFVvcF5NFhTv2Nhh7A
90,"Dr. Samer Hattar: Timing Light, Food, & Exercise for Better Sleep, Energy & Mood | Huberman Lab #43",91.0,https://www.youtube.com/watch?v=oUu3f0ETMJQ&list=UU2D2CMWXMOVWx7giW1n3LIg&index=91&pp=iAQB,"Dr. Samer Hattar: Timing Light, Food, & Exercise for Better Sleep, Energy & Mood | Huberman Lab #43",https://i.ytimg.com/vi/oUu3f0ETMJQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDHIvFMMLycz-gRcauOXFdX4ZyAnA
91,Nutrients For Brain Health & Performance | Huberman Lab Podcast #42,92.0,https://www.youtube.com/watch?v=E7W4OQfJWdw&list=UU2D2CMWXMOVWx7giW1n3LIg&index=92&pp=iAQB,Nutrients For Brain Health & Performance | Huberman Lab Podcast #42,https://i.ytimg.com/vi/E7W4OQfJWdw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA3l_yFJU2QWYak_dnSTha4dVvSvw
92,Effects of Fasting & Time Restricted Eating on Fat Loss & Health | Huberman Lab Podcast #41,93.0,https://www.youtube.com/watch?v=9tRohh0gErM&list=UU2D2CMWXMOVWx7giW1n3LIg&index=93&pp=iAQB,Effects of Fasting & Time Restricted Eating on Fat Loss & Health | Huberman Lab Podcast #41,https://i.ytimg.com/vi/9tRohh0gErM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDt6GKulWtAqlY3rj3GgROd1sZXQQ
93,"Dr. Craig Heller: Using Temperature for Performance, Brain & Body Health | Huberman Lab Podcast #40",94.0,https://www.youtube.com/watch?v=77CdVSpnUX4&list=UU2D2CMWXMOVWx7giW1n3LIg&index=94&pp=iAQB,"Dr. Craig Heller: Using Temperature for Performance, Brain & Body Health | Huberman Lab Podcast #40",https://i.ytimg.com/vi/77CdVSpnUX4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLACJM0GDk38Ekj9UzGeTivNuRBDbQ
94,"Controlling Your Dopamine For Motivation, Focus & Satisfaction | Huberman Lab Podcast #39",95.0,https://www.youtube.com/watch?v=QmOF0crdyRU&list=UU2D2CMWXMOVWx7giW1n3LIg&index=95&pp=iAQB,"Controlling Your Dopamine For Motivation, Focus & Satisfaction | Huberman Lab Podcast #39",https://i.ytimg.com/vi/QmOF0crdyRU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLch9amkiyzDmqQ5rYmDYELYZ8NQ
95,Dr. Matthew Johnson: Psychedelics for Treating Mental Disorders | Huberman Lab Podcast #38,96.0,https://www.youtube.com/watch?v=GzvzWO0NU50&list=UU2D2CMWXMOVWx7giW1n3LIg&index=96&pp=iAQB,Dr. Matthew Johnson: Psychedelics for Treating Mental Disorders | Huberman Lab Podcast #38,https://i.ytimg.com/vi/GzvzWO0NU50/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmOGjVxEYtUI4dGA1Kbnt68GlWWQ
96,ADHD & How Anyone Can Improve Their Focus | Huberman Lab Podcast #37,97.0,https://www.youtube.com/watch?v=hFL6qRIJZ_Y&list=UU2D2CMWXMOVWx7giW1n3LIg&index=97&pp=iAQB,ADHD & How Anyone Can Improve Their Focus | Huberman Lab Podcast #37,https://i.ytimg.com/vi/hFL6qRIJZ_Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDMDt7KShQVOqF9guNvfEPmmyKQlA
97,"Healthy Eating & Eating Disorders - Anorexia, Bulimia, Binging | Huberman Lab Podcast #36",98.0,https://www.youtube.com/watch?v=2XGREPnlI8U&list=UU2D2CMWXMOVWx7giW1n3LIg&index=98&pp=iAQB,"Healthy Eating & Eating Disorders - Anorexia, Bulimia, Binging | Huberman Lab Podcast #36",https://i.ytimg.com/vi/2XGREPnlI8U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLPuOzvfFDHIiZUnlSm57uma4KhQ
98,"Dr. Robert Sapolsky: Science of Stress, Testosterone & Free Will | Huberman Lab Podcast #35",99.0,https://www.youtube.com/watch?v=DtmwtjOoSYU&list=UU2D2CMWXMOVWx7giW1n3LIg&index=99&pp=iAQB,"Dr. Robert Sapolsky: Science of Stress, Testosterone & Free Will | Huberman Lab Podcast #35",https://i.ytimg.com/vi/DtmwtjOoSYU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjBSvPHIzkWKzN_bGG9xw7gl6zOw
99,Understanding & Conquering Depression | Huberman Lab Podcast #34,100.0,https://www.youtube.com/watch?v=Xu1FMCxoEFc&list=UU2D2CMWXMOVWx7giW1n3LIg&index=100&pp=iAQB,Understanding & Conquering Depression | Huberman Lab Podcast #34,https://i.ytimg.com/vi/Xu1FMCxoEFc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCEvtrvgr0AzMmh9h8Uj18j2cDL_A
